screen,date,player,team,long,lat
1,7/1/19,Kevin Durant,GSW,-122.2030556,37.75027778
2,7/2/19,Kevin Durant,,-116.8443482,38.07609691
3,7/3/19,Kevin Durant,,-111.4856408,38.40191605
4,7/4/19,Kevin Durant,,-106.1269334,38.72773519
5,7/5/19,Kevin Durant,,-100.768226,39.05355432
6,7/6/19,Kevin Durant,,-95.40951858,39.37937346
7,7/7/19,Kevin Durant,,-90.05081119,39.70519259
8,7/8/19,Kevin Durant,,-84.69210379,40.03101173
9,7/9/19,Kevin Durant,,-79.3333964,40.35683086
10,7/10/19,Kevin Durant,BKN,-73.974689,40.68265